City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Trairi,BR,87.6,scattered clouds,-3.2778,-39.2689,janelas do mar
396,Amambai,BR,76.89,overcast clouds,-23.1042,-55.2258,Keren Hotel
397,Takoradi,GH,81.54,broken clouds,4.8845,-1.7554,Raybow International Hotel
400,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
401,Mana,GF,76.73,overcast clouds,5.6592,-53.7767,LE SAMANA
407,Boa Vista,BR,84.18,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
414,Huarmey,PE,73.36,broken clouds,-10.0681,-78.1522,Hotel Miramar
415,Malakal,SS,83.5,broken clouds,9.5334,31.6605,Nile Palace Hotel
417,Banjarmasin,ID,77.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
422,Buchanan,LR,84.16,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
425,Homa Bay,KE,75.33,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
426,Hualmay,PE,72.7,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
429,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
434,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
437,Antalaha,MG,74.44,light rain,-14.9003,50.2788,Hotel Vitasoa
440,Realeza,BR,87.51,broken clouds,-25.7689,-53.5325,Hotel Renascer
443,Corn Island,NI,80.73,clear sky,12.1694,-83.0418,Big Fish Guest House
451,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
454,Inhambane,MZ,80.11,clear sky,-23.865,35.3833,Oceano
455,Cienaga De Oro,CO,85.87,broken clouds,8.8744,-75.6203,Calle 5 20- 45
456,Tshela,CD,74.39,moderate rain,-4.9833,12.9333,Hotel Mirador
458,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
466,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
470,Kailua,US,75.18,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
472,Aswan,EG,78.96,overcast clouds,24.0934,32.907,Nuba Nile
478,Amalapuram,IN,75.83,light rain,16.5833,82.0167,swayamprabha service apartments
479,Janauba,BR,81.59,broken clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
484,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
485,Byron Bay,AU,70.05,scattered clouds,-28.65,153.6167,Backpackers Inn
486,Caravelas,BR,83.39,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
491,Maria Aurora,PH,70.95,overcast clouds,15.7967,121.4737,Attic Travellers Inn
496,Nicoya,CR,87.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
502,Quelimane,MZ,81.64,clear sky,-17.8786,36.8883,Hotel Flamingo
503,Tingo Maria,PE,81.63,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
504,Tambun,ID,80.04,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
507,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
508,Etchojoa,MX,73.89,clear sky,26.9167,-109.6333,Cuadra RT
509,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
510,Barra,BR,85.59,overcast clouds,-11.0894,-43.1417,Motel Albatroz
513,Jaguey Grande,CU,83.05,clear sky,22.5269,-81.1286,Hostal lleana
514,Ahuimanu,US,74.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
525,Mindelo,CV,74.75,broken clouds,16.8901,-24.9804,Hotel Gaudi
532,Mizque,BO,85.42,broken clouds,-17.941,-65.3402,Hotel Mizque Boutique
536,Gurun,MY,81.73,broken clouds,5.8172,100.4738,The Jerai Hill Resort
538,Hambantota,LK,79.59,overcast clouds,6.1241,81.1185,Bungalow 63
541,Rocha,UY,81.43,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
542,Labuhan,ID,78.39,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
543,Galle,LK,78.31,overcast clouds,6.0367,80.217,Amangalla
545,Kiunga,PG,73.63,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
