City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Hovd,MN,48.0056,91.6419,8.19,57,19,5.44,few clouds
214,Mirante Do Paranapanema,BR,-22.2919,-51.9064,100.33,24,91,10.49,overcast clouds
215,Aklavik,CA,68.2191,-135.0107,-1.37,91,100,23.04,overcast clouds
216,Lysyye Gory,RU,51.5506,44.8414,18.66,73,29,10.2,scattered clouds
217,Geraldton,AU,-28.7667,114.6,61.12,77,33,8.05,scattered clouds
218,Victoria,HK,22.2855,114.1577,68.32,65,6,4.0,clear sky
219,Mahbubabad,IN,17.6167,80.0167,74.07,62,95,2.33,overcast clouds
220,Fethiye,TR,36.6217,29.1164,64.27,75,1,9.48,clear sky
221,Yanam,IN,16.7333,82.2167,76.53,74,21,7.81,light rain
222,Namibe,AO,-15.1961,12.1522,71.89,77,5,5.03,clear sky
223,La Paz,BO,-16.5,-68.15,62.58,25,75,10.36,broken clouds
224,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,81,40,23.02,scattered clouds
225,Andenes,NO,69.3143,16.1194,35.58,80,90,5.75,overcast clouds
226,Chiredzi,ZW,-21.05,31.6667,91.29,27,50,8.55,scattered clouds
227,Bouar,CF,5.934,15.596,74.66,31,52,4.27,broken clouds
228,Lodwar,KE,3.1191,35.5973,86.11,37,99,23.31,overcast clouds
229,Road Town,VG,18.4167,-64.6167,84.29,83,40,10.36,scattered clouds
230,Lata,PT,40.1629,-8.3327,58.93,76,37,2.98,scattered clouds
231,Mushie,CD,-3.0167,16.9,70.97,96,100,2.35,overcast clouds
232,Kieta,PG,-6.2167,155.6333,80.55,84,100,1.43,overcast clouds
233,Clyde River,CA,70.4692,-68.5914,-1.97,92,21,11.5,light snow
234,Daru,PG,-9.0763,143.2092,76.93,92,98,9.86,overcast clouds
235,Ponta Do Sol,PT,32.6667,-17.1,68.0,77,46,2.55,scattered clouds
236,Mao,ES,39.8885,4.2658,48.76,87,20,3.44,few clouds
237,San Policarpo,PH,12.1791,125.5072,79.81,87,98,18.5,overcast clouds
238,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,90,3.44,overcast clouds
239,Merauke,ID,-8.4667,140.3333,78.04,89,93,5.39,overcast clouds
240,Alice Springs,AU,-23.7,133.8833,65.75,45,9,5.75,clear sky
241,Husavik,IS,66.0449,-17.3389,35.26,79,91,18.97,overcast clouds
242,Upington,ZA,-28.4478,21.2561,79.18,57,20,12.66,few clouds
243,Anadyr,RU,64.75,177.4833,-28.7,68,20,8.95,fog
244,Russell,US,32.3502,-85.1999,60.39,50,1,4.61,clear sky
245,Biak,ID,-0.9131,122.8766,77.41,84,99,3.04,overcast clouds
246,Teguise,ES,29.0605,-13.564,62.82,82,0,11.5,clear sky
247,Kavieng,PG,-2.5744,150.7967,83.05,77,100,4.38,overcast clouds
248,Mayo,US,38.8876,-76.5119,51.08,38,1,5.99,clear sky
249,Henties Bay,NA,-22.116,14.2845,60.85,81,1,9.1,clear sky
250,Port Macquarie,AU,-31.4333,152.9167,60.89,88,15,9.37,few clouds
251,Maturin,VE,9.75,-63.1767,80.78,80,98,8.55,overcast clouds
252,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,82,21.43,broken clouds
253,Ekhabi,RU,53.5102,142.9671,25.83,91,100,19.53,light snow
254,Maryville,US,35.7565,-83.9705,51.15,55,1,4.0,clear sky
255,Colares,PT,38.7992,-9.4469,64.33,67,0,1.01,clear sky
256,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,62,0,11.5,clear sky
257,Abu Samrah,SY,35.3029,37.1841,57.88,45,97,7.76,overcast clouds
258,Flinders,AU,-34.5833,150.8552,61.21,87,50,6.26,scattered clouds
259,Nuuk,GL,64.1835,-51.7216,20.01,79,20,17.27,few clouds
260,Port-Cartier,CA,50.0334,-66.8654,32.22,71,69,23.78,broken clouds
261,Whitehorse,CA,60.7161,-135.0538,-5.03,71,90,9.22,light snow
